"","sourcedb","labnr","c14age","c14std","sigma","c13val","site","feature","period","culture","material","country","lat","lon","shortref","TO","FROM"
"197","aDRAC","Beta-75781",1400,80,2,NA,"Lower Mabale","2",NA,NA,NA,"COG",2.64,16.66,"Fay 1997; Garcin et al. 2018",773,497
"198","aDRAC","Beta-75782",1730,110,2,NA,"Lower Mabale","3",NA,NA,NA,"COG",2.64,16.66,"Fay 1997; Garcin et al. 2018",554,554
"199","aDRAC","Beta-75783",1370,90,2,NA,"Lower Mabale","4",NA,NA,NA,"COG",2.64,16.66,"Fay 1997; Garcin et al. 2018",883,458
"200","aDRAC","Beta-75784",1380,80,2,NA,"Lower Mabale","5",NA,NA,NA,"COG",2.64,16.66,"Fay 1997; Garcin et al. 2018",866,456
"201","aDRAC","Beta-75785",1750,100,2,NA,"Mongambo","1",NA,NA,NA,"COG",2.69,16.78,"Fay 1997; Garcin et al. 2018",535,475
"202","aDRAC","Beta-75786",1580,80,2,NA,"Mongambo","2",NA,NA,NA,"COG",2.69,16.78,"Fay 1997; Garcin et al. 2018",640,277
"203","aDRAC","Beta-75787",1740,100,2,NA,"Mongambo","3",NA,NA,NA,"COG",2.69,16.78,"Fay 1997; Garcin et al. 2018",536,478
"204","aDRAC","Beta-75788",1460,90,2,NA,"Mongambo","4",NA,NA,NA,"COG",2.69,16.78,"Fay 1997; Garcin et al. 2018",764,712
"205","aDRAC","Beta-75789",1490,80,2,NA,"Mongambo","5",NA,NA,NA,"COG",2.69,16.78,"Fay 1997; Garcin et al. 2018",666,666
"206","aDRAC","Beta-75790",1700,80,2,NA,"Motaba","1",NA,NA,NA,"COG",2.71,16.93,"Fay 1997; Garcin et al. 2018",535,476
"207","aDRAC","Beta-75791",1670,100,2,NA,"Motaba","2",NA,NA,NA,"COG",2.71,16.93,"Fay 1997; Garcin et al. 2018",584,584
"208","aDRAC","Beta-75792",1420,100,2,NA,"Motaba","3",NA,NA,NA,"COG",2.71,16.93,"Fay 1997; Garcin et al. 2018",861,777
"209","aDRAC","Beta-75793",1720,70,2,NA,"Motaba","4",NA,NA,NA,"COG",2.71,16.93,"Fay 1997; Garcin et al. 2018",531,432
"210","aDRAC","Beta-75794",1390,100,2,NA,"Motaba","5",NA,NA,NA,"COG",2.71,16.93,"Fay 1997; Garcin et al. 2018",871,779
"211","aDRAC","Beta-75795",1710,110,2,NA,"Upper Esimbi","1",NA,NA,NA,"COG",2.54,16.5,"Fay 1997; Garcin et al. 2018",566,566
"212","aDRAC","Beta-75796",2020,80,2,NA,"Upper Esimbi","2",NA,NA,NA,"COG",2.54,16.5,"Fay 1997; Garcin et al. 2018",207,-300
"213","aDRAC","Beta-75797",1720,90,2,NA,"Upper Esimbi","3",NA,NA,NA,"COG",2.54,16.5,"Fay 1997; Garcin et al. 2018",538,100
"214","aDRAC","Beta-75798",1480,70,2,NA,"Upper Esimbi","4",NA,NA,NA,"COG",2.55,16.5,"Fay 1997; Garcin et al. 2018",660,660
"215","aDRAC","Beta-75799",1150,70,2,NA,"Upper Esimbi","5",NA,NA,NA,"COG",2.55,16.5,"Fay 1997; Garcin et al. 2018",1017,703
"216","aDRAC","Beta-75800",990,80,2,NA,"Mid Esimbi","1",NA,NA,NA,"COG",2.44,16.46,"Fay 1997; Garcin et al. 2018",1220,1220
"217","aDRAC","Beta-75801",1280,80,2,NA,"Mid Esimbi","2",NA,NA,NA,"COG",2.44,16.46,"Fay 1997; Garcin et al. 2018",951,900
"218","aDRAC","Beta-75802",1030,80,2,NA,"Mid Esimbi","3",NA,NA,NA,"COG",2.44,16.46,"Fay 1997; Garcin et al. 2018",1186,791
"219","aDRAC","Beta-75803",1300,80,2,NA,"Mid Esimbi","4",NA,NA,NA,"COG",2.44,16.46,"Fay 1997; Garcin et al. 2018",942,896
"220","aDRAC","Beta-75804",1310,80,2,NA,"Mid Esimbi","5",NA,NA,NA,"COG",2.44,16.46,"Fay 1997; Garcin et al. 2018",937,893
"221","aDRAC","Beta-75805",1110,70,2,NA,"Goaleke","1",NA,NA,NA,"COG",2.32,16.34,"Fay 1997; Garcin et al. 2018",1038,743
"222","aDRAC","Beta-75806",2290,70,2,NA,"Goalake River 2",NA,NA,NA,NA,"COG",2.32,16.34,"Fay 1997; Garcin et al. 2018",-169,-712
"223","aDRAC","Beta-75807",1290,70,2,NA,"Goaleke","3",NA,NA,NA,"COG",2.32,16.34,"Fay 1997; Garcin et al. 2018",892,892
"224","aDRAC","Beta-75808",1390,100,2,NA,"Goaleke","4",NA,NA,NA,"COG",2.32,16.34,"Fay 1997; Garcin et al. 2018",871,779
"225","aDRAC","Beta-75809",1210,80,2,NA,"Goaleke","5",NA,NA,NA,"COG",2.32,16.34,"Fay 1997; Garcin et al. 2018",978,978
"226","aDRAC","Beta-75810",1680,90,2,NA,"Mondika","1",NA,NA,NA,"COG",2.35,16.28,"Fay 1997; Garcin et al. 2018",557,557
"227","aDRAC","Beta-75811",1760,90,2,NA,"Mondika","2",NA,NA,NA,"COG",2.35,16.28,"Fay 1997; Garcin et al. 2018",531,432
"228","aDRAC","Beta-75812",1780,110,2,NA,"Mondika","3",NA,NA,NA,"COG",2.35,16.28,"Fay 1997; Garcin et al. 2018",534,437
"229","aDRAC","Beta-75813",1840,90,2,NA,"Mondika","4",NA,NA,NA,"COG",2.35,16.28,"Fay 1997; Garcin et al. 2018",391,-30
"230","aDRAC","Beta-75814",1400,110,2,NA,"Mondika","5",NA,NA,NA,"COG",2.35,16.28,"Fay 1997; Garcin et al. 2018",880,880
"231","aDRAC","Beta-75815",1480,80,2,NA,"Upper Ndoki","1",NA,NA,NA,"COG",2.47,16.32,"Fay 1997; Garcin et al. 2018",672,672
"232","aDRAC","Beta-75816",1430,100,2,NA,"Upper Ndoki","2",NA,NA,NA,"COG",2.47,16.32,"Fay 1997; Garcin et al. 2018",857,777
"233","aDRAC","Beta-75817",1800,80,2,NA,"Upper Ndoki","3",NA,NA,NA,"COG",2.47,16.32,"Fay 1997; Garcin et al. 2018",402,402
"234","aDRAC","Beta-75818",1690,110,2,NA,"Upper Ndoki","4",NA,NA,NA,"COG",2.47,16.32,"Fay 1997; Garcin et al. 2018",589,106
"235","aDRAC","Beta-75819",1520,90,2,NA,"Upper Ndoki","5",NA,NA,NA,"COG",2.47,16.32,"Fay 1997; Garcin et al. 2018",664,373
"236","aDRAC","Beta-75820",1660,90,2,NA,"Wali","1",NA,NA,NA,"COG",2.22,16.21,"Fay 1997; Garcin et al. 2018",584,159
"237","aDRAC","Beta-75821",1880,70,2,NA,"Wali","2",NA,NA,NA,"COG",2.22,16.21,"Fay 1997; Garcin et al. 2018",324,-8
"238","aDRAC","Beta-75822",1790,90,2,NA,"Wali","3",NA,NA,NA,"COG",2.22,16.21,"Fay 1997; Garcin et al. 2018",424,44
"239","aDRAC","Beta-75823",1630,80,2,NA,"Wali","4",NA,NA,NA,"COG",2.22,16.21,"Fay 1997; Garcin et al. 2018",596,596
"240","aDRAC","Beta-75824",2160,100,2,NA,"Wali","5",NA,NA,NA,"COG",2.22,16.21,"Fay 1997; Garcin et al. 2018",47,27
"241","aDRAC","Beta-75825",1550,80,2,NA,"Mbeli creek","1",NA,NA,NA,"COG",2.25,16.4,"Fay 1997; Garcin et al. 2018",648,372
"242","aDRAC","Beta-75826",1690,80,2,NA,"Mbeli creek","2",NA,NA,NA,"COG",2.25,16.4,"Fay 1997; Garcin et al. 2018",540,198
"243","aDRAC","Beta-75827",1550,70,2,NA,"Mbeli creek","3",NA,NA,NA,"COG",2.25,16.4,"Fay 1997; Garcin et al. 2018",645,645
"244","aDRAC","Beta-75828",1240,70,2,NA,"Mbeli creek","4",NA,NA,NA,"COG",2.25,16.4,"Fay 1997; Garcin et al. 2018",961,901
"245","aDRAC","Beta-75829",1560,70,2,NA,"Mbeli creek","5",NA,NA,NA,"COG",2.25,16.4,"Fay 1997; Garcin et al. 2018",640,366
"246","aDRAC","Beta-75830",2340,90,2,NA,"Bai Dédé Creek 1",NA,NA,NA,NA,"COG",2.21,16.53,"Fay 1997; Garcin et al. 2018",-203,-678
