"id","name","st_x","st_y"
1201,"Lindili 1",11.5025,-0.158056
1278,"Ubangi, Fkm 236",17.999335,1.379788
1228,"Oboui",15.33,6.05
1328,"Lotumbe",19.380323,-0.467776
1318,"Isenge-Moke",18.815449,-0.170147
1329,"Ifulu",19.425861,-0.525343
1323,"Ingende",18.968538,-0.309694
1324,"Ruki I",19.011953,-0.351948
1205,"Lus",10.990278,6.644444
1218,"Nditam",11.330139,5.336083
1221,"Ndtoua",10.218947,3.063129
1209,"Makouré I",10.1733,3.060819
2411,"LE4",17.512122,3.789695
1196,"Kribi Hotel",9.904167,2.933333
1334,"Nkasa",19.622371,-0.782073
1333,"Nkasa Elali",19.622156,-0.770237
1337,"Befili",19.403911,-0.98138
1175,"Bwambe",9.905833,2.896667
1451,"Waka",20.190153,-0.938947
1331,"Lokondola",19.483622,-0.667824
1386,"Ngombe-Malala",20.643967,-0.33177
1226,"Nlendé-Dibé 3",9.880556,2.760833
1143,"Mbati-Ngombe",18.495671,2.888154
1225,"Nkpwala-Esse",12.068833,2.969667
1212,"Mfomakap/Nkometou",11.55,4.049917
1304,"Bongongo",18.72677,-0.794161
1257,"Bolobo",16.25,-2.16667
1288,"Point-Noire",11.85,-4.75
1273,"Mandamuru",18.811362,4.537303
1287,"Ntadi-Yomba",13.766667,-4.25
1258,"Kebu",18.32252,-2.559381
1450,"Malanga",20.192645,1.017247
1293,"Bacongo",15.266667,-4.291667
1289,"Mouambe",14.633333,-2.916667
1282,"Moussanda",13.933333,-4.016667
1291,"Imporo",15.95,-1.6
1300,"Oyo",15.95,-1.116667
1249,"Toube 1",11.585,-0.0375
1296,"Gamboma",15.833333,-1.833333
1248,"Sunde Lutete",14.252778,-4.5275
1295,"Abala",15.533333,-1.333333
1250,"Viafée 5",11.414437,0.330672
1298,"Okoyo",15.2,-1.35
1290,"Gankieli",15.916667,-1.716667
1573,"Madingo-Kayes",11.69611,-4.43167
1210,"Malongo 1",9.866944,2.734167
1180,"Dombè",9.949644,2.964143
1174,"Bissiang",10.021249,2.997909
2499,"Kikulu",26.978951,-7.843414
1227,"Obobogo",11.504167,3.816667
1224,"Nkang",11.316667,4.266667
1217,"Ndindan",11.5,3.9
1326,"Bempumba",19.161063,-0.430004
1297,"Plateau de Hinda",11.983333,-4.8
1335,"Bompoma",19.395852,-0.790041
1299,"Boundji",15.358715,-1.027618
1294,"Owando",15.916667,-0.5
1277,"Ubangi, Fkm 597",18.551254,4.32406
1284,"Point-Noire, Concession ORSTOM",11.866667,-4.766667
1306,"Mbeke",18.683283,-0.250149
1179,"Dimba",14.866667,-5.283333
1281,"Biala",13.25,-3.866667
1336,"Imomo",19.387474,-0.918599
1413,"Ikela",23.358848,-1.053764
1338,"Bomate",19.755676,-1.213735
1416,"Boyombo",23.935279,-1.362244
1342,"Bokolongo",19.840031,-0.747752
1343,"Ikindantoi",19.834986,-0.76816
1345,"Bonkake",19.846767,-0.839629
1425,"Loomba",18.834717,0.332536
1312,"Boyeka",18.332576,0.054651
