WKT,Type,FROM,TO,Freq
"POLYGON ((20.365413 -1.236344,20.378778 -1.354817,19.806854 -1.232534,17.580406 -0.704069,17.134569 -0.366609,17.046761 0.291662,19.093138 1.107802,19.550204 1.269322,19.802942 1.227045,20.012349 1.142068,20.365413 -1.236344))",Imbonga,-400,-100,60
"POLYGON ((19.788493 -0.821913,18.18601 -0.034788,18.62434 0.311715,19.788493 -0.821913))",Inganda,-200,100,6
"POLYGON ((20.263551 -0.211041,19.788493 -0.821913,18.126623 -0.736957,18.210484 -0.015508,18.514476 0.773259,19.093138 1.107802,20.153246 1.313028,20.263551 -0.211041))",Ingende,-250,-50,24
"POLYGON ((20.643967 -0.33177,20.707786 -0.367448,20.518223 -0.365373,20.323035 -0.342695,20.206142 -0.214307,20.263551 -0.211041,20.643967 -0.33177))",Inkaka,1800,1900,7
"POLYGON ((14.59619 -5.61602,13.699803 -5.768174,13.25615 -4.98562,13.61322 -4.95097,13.62777 -4.95475,14.0075 -5.128462,14.59619 -5.61602))",Kay Ladio,30,475,10
"POLYGON ((14.867683 -5.5508,14.59619 -5.61602,13.73236 -5.51733,13.7394 -5.50028,14.867683 -5.5508))",Kitala,250,525,4
"POLYGON ((16.5227 1.116917,16.537896 0.945646,15.550034 1.957609,16.112376 1.880963,16.5227 1.116917))",Konda,1350,1550,13
"POLYGON ((19.976358 4.990322,19.071738 4.899383,19.815534 5.111067,19.976358 4.990322))",Kpetene,1900,2000,3
"POLYGON ((21.831469 0.087605,21.301939 0.136734,19.093138 1.107802,19.261337 1.139743,20.341824 1.331587,21.831469 0.087605))",Likuku,1700,1900,8
"POLYGON ((20.878878 -0.278183,20.202048 -0.666969,19.846767 -0.839629,19.403911 -0.98138,18.18601 -0.034788,18.383749 0.637147,18.514476 0.773259,20.153246 1.313028,20.878878 -0.278183))",Lingonda,200,700,32
"POLYGON ((20.650364 1.446656,20.341824 1.331587,21.51668 2.150083,21.594268 2.174369,20.650364 1.446656))",Lisala,1900,1980,4
"POLYGON ((20.053766 -0.211017,19.846767 -0.839629,19.622371 -0.782073,18.313082 0.008471,18.256488 0.060277,19.228241 0.349073,19.590063 0.429998,20.053766 -0.211017))",Lokondola,-100,400,14
"POLYGON ((21.831469 0.087605,18.59212 -0.099389,18.514476 0.773259,19.093138 1.107802,20.472303 0.915503,21.831469 0.087605))",Lokonge,1700,1900,9
"POLYGON ((22.563143 -0.732934,20.883252 -1.914095,17.702895 -0.641539,18.514476 0.773259,18.549522 0.792926,19.190256 1.148303,20.012349 1.142068,22.342933 0.164537,22.563143 -0.732934))",Longa,1000,1400,57
"POLYGON ((20.365413 -1.236344,16.636105 0.549857,21.239008 -0.232434,20.365413 -1.236344))",Lusako,100,250,14
"POLYGON ((18.39671 0.248562,18.536353 0.303572,18.878862 0.378587,18.39671 0.248562))",Malelembe,1300,1600,4
"POLYGON ((16.5227 1.116917,16.636105 0.549857,15.997858 1.762354,16.146811 1.782783,16.5227 1.116917))",Mandombe,1300,1500,6
"POLYGON ((18.031148 1.429335,17.090295 0.817823,16.537896 0.945646,16.431282 1.281643,18.69029 4.367518,18.523706 2.806193,18.031148 1.429335))",Matoto,1200,1400,10
"POLYGON ((15.13083 -5.96611,14.45542 -5.73303,13.25615 -4.98562,14.39635 -4.25235,15.342473 -4.333154,15.13083 -5.96611))",Mbafu,1280,1450,12
